miRNA,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0000439,1.412381632653061,1.0079851063829788,-0.48665564250958243,,,
MIMAT0000440,9.428755102040817,9.072654986522911,-0.055542504262595216,6.166953249607634e-05,4.006329775593733,
MIMAT0000441,6.796408163265305,8.075183288409704,0.24872250886470804,4.7101089209104244e-05,-4.069564547797979,
MIMAT0000442,0.65903,1.2920285714285715,0.971221928185837,,,
MIMAT0000443,8.86534693877551,7.953617250673855,-0.15656595355772174,2.2519696353882907e-09,5.978503364141985,
MIMAT0000444,8.686877551020409,8.242814016172506,-0.07570075815639354,2.3431783656347445e-06,4.7213209622991625,
MIMAT0000445,12.812653061224488,12.132722371967656,-0.07866593683185918,1.3749493874379595e-10,6.418642422157673,
MIMAT0000446,9.328469387755101,8.239045822102426,-0.17916311744027746,4.5301237037299433e-10,6.234572887226504,
MIMAT0000447,8.443714285714286,7.073520215633424,-0.255449395395662,1.4484610247152972e-11,6.752972801930616,
MIMAT0000448,5.12969387755102,4.083926756756757,-0.32891574092122644,,,
MIMAT0000449,6.559571428571428,5.840544474393531,-0.16749869098014658,0.00018941573763504773,3.7327298206110076,
MIMAT0000450,3.2160000000000006,3.04996757493188,-0.07647350145890464,,,
MIMAT0000451,9.142163265306122,8.01099730458221,-0.1905537258222263,1.3592670858571859e-06,4.830886161662955,
MIMAT0000452,2.8707755102040817,1.911444314868805,-0.5867773471537145,,,
MIMAT0000453,1.3714285714285714,1.6702162079510707,0.28435538655722303,,,
MIMAT0000454,0.8049666666666666,2.0948197452229302,1.379825160252109,,,
MIMAT0000455,6.31704081632653,6.80611590296496,0.10758282556785614,1.089498389460261e-08,-5.716172972522392,
MIMAT0000456,8.254367346938775,8.197185983827493,-0.010028913323656852,0.26563008899042995,1.113182425536124,
MIMAT0000457,1.2890122448979593,2.062460975609756,0.6781008534242973,,,
MIMAT0000458,2.0845755102040817,1.890331707317073,-0.1411142176568121,,,
MIMAT0000459,4.126489795918367,4.026859838274932,-0.03525981515330878,0.2571230508415544,1.1332172048483602,
MIMAT0000460,14.185102040816327,13.886536388140158,-0.030689724834239485,0.10516510565531284,1.620312776877103,
