source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-HSA-1855183,"Synthesis of IP2, IP, and Ins in the cytosol",1.0,False,"Synthesis of IP2, IP, and Ins in the cytosol",14,1811,2,10916,0.0011043622308117063,0.14285714285714285,query_1,['REAC:R-HSA-1483249'],"['INPP4A', 'MIOX']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-9636569,Suppression of autophagy,1.0,False,Suppression of autophagy,2,1811,1,10916,0.0005521811154058532,0.5,query_1,['REAC:R-HSA-9637690'],['DUSP16'],[['REAC']]
REAC,REAC:R-HSA-69052,Switching of origins to a post-replicative state,1.0,False,Switching of origins to a post-replicative state,92,1811,9,10916,0.004969630038652678,0.09782608695652174,query_1,['REAC:R-HSA-69239'],"['PSMC4', 'CDC23', 'CCNA1', 'ORC4', 'PSME1', 'GMNN', 'PSMA7', 'PSMB9', 'CCNE2']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-8849932,Synaptic adhesion-like molecules,1.0,False,Synaptic adhesion-like molecules,21,1811,3,10916,0.0016565433462175593,0.14285714285714285,query_1,['REAC:R-HSA-6794362'],"['DLG3', 'GRIA1', 'GRIN2D']","[['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-3000170,Syndecan interactions,1.0,False,Syndecan interactions,27,1811,8,10916,0.004417448923246825,0.2962962962962963,query_1,['REAC:R-HSA-3000171'],"['COL1A1', 'COL3A1', 'TNC', 'ITGA2', 'ITGB4', 'ITGB5', 'VTN', 'SDC3']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-174495,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",1.0,False,"Synthesis And Processing Of GAG, GAGPOL Polyproteins",14,1811,1,10916,0.0005521811154058532,0.07142857142857142,query_1,['REAC:R-HSA-175474'],['VPS37C'],[['REAC']]
REAC,REAC:R-HSA-2142816,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),1.0,False,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE),9,1811,1,10916,0.0005521811154058532,0.1111111111111111,query_1,['REAC:R-HSA-2142753'],['CYP1B1'],[['REAC']]
REAC,REAC:R-HSA-2142712,Synthesis of 12-eicosatetraenoic acid derivatives,1.0,False,Synthesis of 12-eicosatetraenoic acid derivatives,7,1811,1,10916,0.0005521811154058532,0.14285714285714285,query_1,['REAC:R-HSA-2142753'],['GPX2'],[['REAC']]
REAC,REAC:R-HSA-2142770,Synthesis of 15-eicosatetraenoic acid derivatives,1.0,False,Synthesis of 15-eicosatetraenoic acid derivatives,6,1811,2,10916,0.0011043622308117063,0.3333333333333333,query_1,['REAC:R-HSA-2142753'],"['GPX2', 'PTGS2']","[['REAC'], ['REAC']]"
REAC,REAC:R-HSA-2142688,Synthesis of 5-eicosatetraenoic acids,1.0,False,Synthesis of 5-eicosatetraenoic acids,9,1811,3,10916,0.0016565433462175593,0.3333333333333333,query_1,['REAC:R-HSA-2142753'],"['GPX2', 'LTC4S', 'PON3']","[['REAC'], ['REAC'], ['REAC']]"
